,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,0_RfR,1_RfR,2_RfR,3_RfR,4_RfR,EWS_DaysToThreat,All Costs,Total Investment Costs,Expected Annual Damage,Total Number of Deaths,Dike Investment Costs,RfR Total Costs,Expected Evacuation Costs
0,10,10,5,6,10,0,1,1,0,0,1,496562760.1513814,463797511.81966424,32765248.331717107,0.011438636775365055,215296688.290358,248500000.0,823.5293062268253
1,8,10,10,5,2,0,1,0,0,1,2,1125335472.4681773,670100230.6347007,455235241.83347654,0.052767849933430803,196178218.29287425,473900000.0,22012.341826496395
2,10,8,0,0,1,1,1,0,0,0,2,1808547046.6755784,456751645.77713674,1351795400.8984413,0.23732889548833053,154295844.4619689,302400000.0,55801.31516781472
3,10,8,1,9,4,1,1,0,0,0,4,1139497632.8008993,494739074.28709465,644758558.5138046,0.0984353061291885,192303332.29653955,302400000.0,35741.99055508195
4,10,10,4,5,1,1,1,1,0,0,0,1064518614.6506059,528838911.6034733,535679703.0471326,0.42532289885046215,195738911.60347334,333100000.0,0.0
5,9,1,9,5,3,0,1,0,1,1,4,1327453341.90694,761941049.5338129,565512292.373127,0.05205794107082172,166805485.17238176,595100000.0,35564.36143106969
6,10,2,3,3,1,0,1,0,1,1,2,1552786583.7248302,756867944.4640342,795918639.2607961,0.09498078234071461,161732023.97034293,595100000.0,35920.49369126992
7,7,10,1,3,1,0,1,1,0,1,2,1351838154.0018818,681093463.6623881,670744690.3394939,0.09137631374979338,176462430.67321774,504600000.0,31032.98917032102
8,7,10,0,7,1,1,1,0,0,0,1,1740796915.4415581,462894816.95502853,1277902098.4865298,0.5583912131224513,160463616.38226265,302400000.0,31200.572765881778
9,1,2,9,3,1,0,0,1,1,0,3,2046792361.6200147,285465088.39070326,1761327273.2293112,0.13674096656172913,133514764.94285114,151900000.0,50323.447852113015
10,8,1,1,3,3,1,1,0,0,1,4,1838032505.6080155,708575496.861776,1129457008.7462397,0.14112722990988796,150009170.53625143,558500000.0,66326.32552459073
11,10,2,5,2,1,1,1,0,1,1,0,1614563080.339267,843111795.5520267,771451284.7872403,0.5871926851941558,163411795.55202678,679700000.0,0.0
12,1,1,1,2,3,0,0,0,1,1,3,2417589533.701482,499874715.92725563,1917714817.774226,0.17602067413277217,122521390.25808199,377300000.0,53325.669173629496
13,6,1,0,10,2,1,1,1,1,1,0,1698719561.8342726,837366081.626425,861353480.2078476,0.8260475935657872,126966081.62642497,710400000.0,0.0
14,9,8,0,8,4,1,1,0,0,0,1,1477737071.3379292,469048408.5326937,1008688662.8052356,0.4868760013853708,166625587.75226632,302400000.0,22820.780427367732
15,5,3,1,1,0,1,1,1,1,1,4,1550061470.1076849,825070660.161662,724990809.9460227,0.07124476638553487,114621624.37140794,710400000.0,49035.79025405492
16,8,10,1,5,1,1,1,1,0,1,3,1419611331.009571,771870762.110521,647740568.89905,0.0720029448150615,182633775.04603818,589200000.0,36987.06448284831
17,10,2,3,2,5,1,1,0,1,1,4,1384556926.1787531,847472254.1403381,537084672.038415,0.05280417749830117,167739564.92071396,679700000.0,32689.21962418973
18,2,1,0,1,3,1,1,1,1,1,1,1640085431.4097881,815789322.5147796,824296108.8950086,0.2826292301151988,105368538.94038378,710400000.0,20783.574395736414
19,10,10,2,4,3,0,1,0,0,0,2,934128807.5993448,413555496.5311499,520573311.0681949,0.08062819230258325,195733301.41419455,217800000.0,22195.11695535778
20,7,1,0,3,1,1,1,0,0,0,1,2118115188.1753323,425133956.64587384,1692981231.5294585,0.6669775568617268,122692154.08464994,302400000.0,41802.561223921126
21,7,3,1,3,1,1,0,0,0,1,3,1738610687.9703653,489359984.9997432,1249250702.970622,0.1517190842942706,148594528.9408171,340700000.0,65456.058926132624
22,7,1,0,9,5,1,1,1,1,1,0,1537319588.692275,845653384.4278731,691666204.2644022,0.6973688923529262,135253384.42787308,710400000.0,0.0
23,8,2,0,3,1,1,1,0,0,0,0,2125584678.534406,432603447.00494766,1692981231.5294585,1.8527154357270188,130203447.00494768,302400000.0,0.0
24,1,9,7,6,1,0,0,0,0,0,2,1749051174.8072536,159703801.6178314,1589347373.1894221,0.15400499524909708,159670054.33698767,0.0,33747.280843735905
25,7,0,0,5,2,1,1,1,1,1,1,1665313548.2380636,799422816.6767495,865890731.5613141,0.2981391441100243,89000836.02268952,710400000.0,21980.654059922534
26,10,10,10,2,5,0,1,1,0,1,1,985907224.1496485,713154275.9179255,272752948.2317231,0.07245655519755093,208546443.60358587,504600000.0,7832.3143396103405
27,10,10,7,5,1,0,0,1,0,1,3,998402225.6444856,486536422.4076567,511865803.2368288,0.04695363011650426,199705171.95638004,286800000.0,31250.45127669476
28,1,2,9,3,1,0,0,1,1,1,3,2294878974.26566,541564559.6943824,1753314414.5712774,0.13633547862794243,133514764.94285114,408000000.0,49794.75153123186
29,9,10,7,6,3,1,1,0,1,0,0,821018686.4056851,622515964.3118596,198502722.0938254,0.15519594195085895,198915964.31185958,423600000.0,0.0
30,8,1,0,1,1,1,1,0,0,1,3,2382394963.0900655,684205407.712048,1698189555.378017,0.2211502301780844,125618419.62408546,558500000.0,86988.08796268626
31,10,10,0,2,1,1,1,0,0,0,3,1794757554.419541,472621868.92718124,1322135685.4923594,0.1882820255061401,170154539.5888355,302400000.0,67329.33834576576
32,9,4,0,5,6,1,1,0,1,1,1,1645930356.2673297,831657934.9198071,814272421.3475225,0.38798164248442124,151939799.8147259,679700000.0,18135.105081240257
33,1,2,0,5,0,0,0,1,1,1,3,2518481731.1917686,489070217.8734774,2029411513.3182912,0.18243833744915328,81007200.59744781,408000000.0,63017.27602958141
34,6,10,10,3,1,1,1,1,1,1,4,1280234868.3342812,894632862.3518763,385602005.9824048,0.034072288613577056,184204663.27334172,710400000.0,28199.078534569246
35,0,10,0,1,1,0,1,0,0,1,2,2388725545.9237247,575403868.180514,1813321677.7432103,0.27545654024684507,101445037.92161289,473900000.0,58830.25890112336
36,1,3,1,2,1,0,0,1,1,1,1,2265730299.430772,533587163.4263789,1732143136.004393,0.4251623214992629,125563907.31838751,408000000.0,23256.107991370824
37,10,10,7,6,6,0,1,1,0,1,0,836605812.7058522,713947228.2150748,122658584.49077733,0.09819874641182307,209347228.21507475,504600000.0,0.0
38,10,1,8,5,1,1,1,1,0,1,1,1627967531.7503045,756235217.8773298,871732313.8729746,0.23846224771065783,167011108.4817759,589200000.0,24109.39555393971
39,9,8,0,5,9,1,1,0,0,1,0,1543946206.3469388,732244513.2114918,811701693.135447,1.1856021845493137,173744513.21149188,558500000.0,0.0
40,1,5,0,2,1,0,0,0,0,0,2,2582629982.2253976,112968263.11115573,2469661719.114242,0.3389621698362371,112902656.1080156,0.0,65607.00314014376
41,10,10,0,1,3,1,1,0,0,0,0,1632521474.7493384,475042229.31247216,1157479245.4368663,1.4424228605885208,172642229.31247216,302400000.0,0.0
42,0,1,0,6,4,0,1,0,1,1,4,2296100970.856637,671619383.8971409,1624481586.9594963,0.19180024073969482,76449500.57574168,595100000.0,69883.32139920128
43,9,10,0,6,4,0,1,0,0,0,2,1397670943.1994376,391443016.0216137,1006227927.177824,0.20230737416508324,173605191.20240605,217800000.0,37824.819207695626
44,9,5,0,3,6,1,1,0,1,1,1,1607541730.5044038,833517260.6623895,774024469.8420142,0.37428077906271967,153799957.11548615,679700000.0,17303.54690332417
45,1,1,6,5,1,0,0,0,1,1,0,2318106206.6241264,505129068.7949743,1812977137.8291519,1.1924406938722325,127829068.79497434,377300000.0,0.0
46,10,2,4,2,2,0,1,1,1,1,0,1392840512.7180462,789525789.424978,603314723.2930682,0.46286942087658,163725789.42497796,625800000.0,0.0
47,10,10,5,2,5,1,1,1,0,1,3,1069844764.3862962,790510613.6734396,279334150.71285653,0.025445418510128073,201294203.870487,589200000.0,16409.802952648766
48,9,8,1,4,5,1,0,0,0,1,0,1187701515.9408388,524943247.0674345,662758268.8734041,0.8231047152272823,184243247.0674345,340700000.0,0.0
49,1,8,1,5,5,0,0,0,0,1,2,2133154231.7891657,409858469.51452684,1723295762.274639,0.21718925178678103,153724971.34866524,256100000.00000003,33498.16586158025
50,5,10,0,5,2,1,1,1,0,1,0,1570456812.0651464,741091912.7343583,829364899.3307881,0.9066705802587834,151891912.73435834,589200000.0,0.0
51,9,9,1,1,1,0,1,0,0,0,3,1376787002.1825957,397324653.2739789,979462348.9086168,0.12554878123528612,179472336.44198388,217800000.0,52316.83199501704
52,0,2,0,1,4,0,1,0,0,1,3,2458948079.880622,549301586.7255255,1909646493.1550963,0.22995868745040307,75327139.05032644,473900000.0,74447.67519906437
53,6,1,1,2,3,1,1,0,1,1,0,1663824932.877537,820238444.2563255,843586488.6212115,0.8365432692423893,140538444.25632542,679700000.0,0.0
54,9,1,0,3,1,1,1,0,0,1,0,2361549377.719487,690348194.1675844,1671201183.5519032,1.8335895491850194,131848194.1675844,558500000.0,0.0
55,1,1,0,10,2,0,0,1,1,1,3,2452486470.4201837,517004661.05932164,1935481809.360862,0.1747611930515799,108949027.62818155,408000000.0,55633.43114007835
56,10,4,1,6,1,0,1,0,0,1,1,1689275950.1620457,642667546.0703459,1046608404.0916996,0.4035399144287233,168741059.86617795,473900000.0,26486.204168012264
57,10,10,5,5,1,1,1,0,0,0,3,1036196149.0259763,499433161.0555412,536762987.97043496,0.051243932293161015,197000848.6371966,302400000.0,32312.41834461271
58,7,1,0,0,1,1,1,0,1,1,1,2189150069.601284,794784158.0825192,1394365911.5187652,0.5364340645766746,115049311.21150635,679700000.0,34846.87101281434
59,1,3,0,2,1,0,0,1,1,1,1,2408492445.869044,513962189.5832022,1894530256.285842,0.5101528610289678,105935344.47831827,408000000.0,26845.10488389431
60,9,3,7,2,2,1,1,1,1,1,0,1365099882.1347952,876359807.9725236,488740074.1622716,0.3684978919883742,165959807.9725236,710400000.0,0.0
61,8,3,0,6,1,1,1,1,1,1,3,1641692718.507675,846511799.3539252,795180919.1537497,0.09322049821977241,136068727.43015653,710400000.0,43071.92376876897
62,10,6,0,3,6,1,1,0,0,1,1,1674913490.7152438,721037364.1988369,953876126.5164073,0.4650128347658645,162516027.74260634,558500000.0,21336.456230495078
63,10,10,4,7,2,1,1,0,0,0,1,984767576.8678763,501644129.07184064,483123447.79603565,0.14519937567100422,199230405.34218135,302400000.0,13723.729659296756
64,7,1,0,4,1,1,1,0,0,1,1,2343854070.501459,682066172.6382196,1661787897.8632393,0.6587678578168908,123525241.69928426,558500000.0,40930.938935279424
65,1,1,1,1,4,0,0,0,1,1,3,2390657164.7354193,500867894.27482396,1889789270.4605954,0.17292223238055998,123516170.68278804,377300000.0,51723.59203596944
